drugbank_id	name	z_score_pan	z_score_sars	z_score_mers	z_score_ibv	z_score_mhv	p_value_pan	p_value_sars	p_value_mers	p_value_ibv	p_value_mhv
DB00021		0.976	1.087	0.215	0.818	1.135	0.774	0.821	0.51	0.705	0.839
DB04769	"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE"	0.976	0.735	0.817	1.091	-0.177	0.808	0.716	0.663	0.684	0.33
DB00273	Topiramate	0.977	0.45	1.856	0.386	0.188	0.813	0.617	0.948	0.586	0.505
DB00457	Prazosin	0.983	0.331	1.809	1.595	0.578	0.816	0.559	0.95	0.955	0.664
DB09038	Empagliflozin	0.983	1.303	1.743	0.97	0.844	0.754	0.851	0.881	0.758	0.706
DB00419	Miglustat	0.984	2.147	0.957	0.335	-2.243	0.813	0.981	0.729	0.456	0.011
DB00709	Lamivudine	0.984	0.641	1.926	0.171	-0.266	0.863	0.74	0.955	0.428	0.317
DB04829	Lysergic acid diethylamide	0.984	0.404	0.84	1.799	-0.17	0.806	0.608	0.721	0.952	0.366
DB06155	Rimonabant	0.984	1.57	1.423	-0.082	-0.452	0.806	0.925	0.872	0.336	0.235
DB01444	Dimethylthiambutene	0.985	1.629	-0.304	0.803	0.21	0.918	0.949	0.083	0.586	0.551
DB07194	"2-{2-[(3,5-dimethylphenyl)amino]pyrimidin-4-yl}-N-[(1S)-2-hydroxy-1-methylethyl]-4-methyl-1,3-thiazole-5-carboxamide"	0.985	0.944	0.227	1.571	0.115	0.809	0.802	0.207	0.858	0.475
DB08213	"1-METHYL-5-(2-PHENOXYMETHYL-PYRROLIDINE-1-SULFONYL)-1H-INDOLE-2,3-DIONE"	0.985	1.247	1.224	-0.023	-0.316	0.809	0.88	0.839	0.399	0.309
DB00940	Methantheline	0.995	1.378	0.765	-0.504	0.957	0.773	0.902	0.66	0.415	0.751
DB01223	Aminophylline	0.995	1.442	0.056	0.08	0.859	0.907	0.974	0.327	0.407	0.788
DB07794	"5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE"	0.996	0.751	1.211	1.076	0.638	0.911	0.757	0.708	0.827	0.733
DB08403	METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID	1	0.713	0.556	1.15	1.169	0.813	0.711	0.552	0.732	0.83
DB00642	Pemetrexed	1.002	0.447	-0.663	0.828	-0.117	0.817	0.617	0.304	0.712	0.371
DB01238	Aripiprazole	1.002	0.276	0.652	1.63	0.241	0.83	0.557	0.67	0.954	0.516
DB01326	Cefamandole	1.004	1.314	0.881	-0.209	1.522	0.895	0.904	0.725	0.322	0.949
DB03991	"2-Deoxy-2,3-Dehydro-N-Acetyl-Neuraminic Acid"	1.004	1.346	0.896	0.296	0.86	0.766	0.863	0.748	0.657	0.72
DB07264	(S)-N-(1-(3-CHLORO-4-FLUOROPHENYL)-2-HYDROXYETHYL)-4-(4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE	1.004	1.153	1.027	-0.311	0.681	0.902	0.922	0.653	0.309	0.738
DB01045	Rifampicin	1.005	0.631	-0.041	0.132	-0.963	0.819	0.688	0.311	0.468	0.13
DB02258	SR11254	1.005	2.519	1.131	-0.123	-0.735	0.816	0.988	0.794	0.349	0.171
DB02741	CD564	1.005	2.519	1.131	-0.123	-0.735	0.816	0.988	0.794	0.349	0.171
DB02877	Arotinoid acid	1.005	2.519	1.131	-0.123	-0.735	0.816	0.988	0.794	0.349	0.171
DB04942	Tamibarotene	1.005	2.519	1.131	-0.123	-0.735	0.816	0.988	0.794	0.349	0.171
DB01373	Calcium	1.006	0.241	0.739	2.273	1.337	0.861	0.521	0.626	0.994	0.959
DB00188	Bortezomib	1.007	1.345	0.168	1.79	0.122	0.874	0.901	0.45	0.95	0.479
DB00677	Isoflurophate	1.007	1.082	0.758	0.994	-0.87	0.833	0.824	0.644	0.654	0.14
DB00679	Thioridazine	1.008	1.107	2.057	2.752	0.252	0.884	0.889	0.974	1	0.554
DB02665	"(1R,2S)-2-Phenylcyclopropanaminium"	1.012	0.873	0.696	1.813	1.195	0.934	0.826	0.622	0.964	0.908
DB01091	Butenafine	1.013	1.386	1.019	0.311	-0.578	0.817	0.906	0.763	0.365	0.193
DB09140	Oxygen	1.014	2.043	2.292	0.376	-0.579	0.817	0.977	0.965	0.564	0.197
DB01018	Guanfacine	1.017	0.589	2.116	0.201	0.163	0.813	0.67	0.954	0.423	0.463
DB02772	Sucrose	1.017	0.765	0.758	1.257	0.598	0.831	0.766	0.659	0.774	0.663
DB00313	Valproic Acid	1.024	0.476	2.236	2.689	0.889	0.897	0.655	0.981	0.995	0.806
DB03260	"1,6-Diaminohexane"	1.024	1.652	1.035	0.297	-0.368	0.826	0.93	0.77	0.434	0.264
DB04665	Coumarin	1.024	1.652	1.035	0.297	-0.368	0.826	0.93	0.77	0.434	0.264
DB03902	Oxalic Acid	1.028	0.967	1.287	1.642	0.877	0.806	0.786	0.748	0.953	0.719
DB06715	Potassium Iodide	1.028	0.967	1.287	1.642	0.877	0.806	0.786	0.748	0.953	0.719
DB06794	Lodoxamide	1.028	1.065	1.287	0.383	0.957	0.806	0.821	0.748	0.524	0.778
DB09154	Sodium citrate	1.028	0.967	1.287	1.642	0.877	0.806	0.786	0.748	0.953	0.719
DB00862	Vardenafil	1.03	1.376	0.766	1.315	-1.321	0.813	0.892	0.697	0.877	0.077
DB00130	L-Glutamine	1.034	1.255	1.889	-0.454	0.295	0.861	0.901	0.938	0.184	0.54
DB00123	L-Lysine	1.038	1.288	1.843	0.505	0.407	0.856	0.879	0.924	0.625	0.566
DB00358	Mefloquine	1.039	1.04	0.36	1.162	0.808	0.906	0.865	0.483	0.841	0.767
DB03619	Deoxycholic Acid	1.041	1.555	1.365	-0.36	-1.276	0.844	0.935	0.835	0.205	0.067
DB00721	Procaine	1.042	0.628	-0.014	0.57	0.832	0.825	0.689	0.398	0.624	0.733
DB03854	"Pentane-1,5-Diamine"	1.047	1.587	0.761	0.049	-0.517	0.88	0.958	0.817	0.363	0.241
DB00905	Bimatoprost	1.056	1.589	-0.704	0.817	-0.083	0.871	0.939	0.076	0.602	0.382
DB00685	Trovafloxacin	1.059	0.809	0.14	0.622	1.687	0.92	0.803	0.446	0.671	0.966
DB08922	Perospirone	1.061	0.324	2.456	0.652	-0.807	0.825	0.566	0.977	0.522	0.154
DB08700		1.062	0.266	-0.3	0.47	0.577	0.883	0.557	0.333	0.677	0.725
DB02530	gamma-Aminobutyric acid	1.063	0.455	2.765	1.089	0.518	0.821	0.635	0.995	0.789	0.621
DB07213	"(5-{3-[5-(PIPERIDIN-1-YLMETHYL)-1H-INDOL-2-YL]-1H-INDAZOL-6-YL}-2H-1,2,3-TRIAZOL-4-YL)METHANOL"	1.066	1.474	1.264	-0.872	0.529	0.821	0.906	0.859	0.127	0.631
DB00258	Calcium acetate	1.07	1.308	0.667	0.945	0.324	0.938	0.939	0.399	0.783	0.561
DB03166	Acetic acid	1.07	1.308	0.667	0.945	0.324	0.938	0.939	0.399	0.783	0.561
DB08927	Amperozide	1.073	1.425	0.903	-0.175	0.949	0.84	0.874	0.806	0.394	0.846
DB00692	Phentolamine	1.078	0.154	1.924	0.501	0.226	0.832	0.495	0.952	0.576	0.501
DB02212		1.097	0.053	0.256	1.105	0.87	0.843	0.46	0.284	0.787	0.758
DB00199	Erythromycin	1.103	0.317	1.979	1.099	0.371	0.837	0.574	0.959	0.776	0.579
DB01127	Econazole	1.103	0.926	0.42	2.061	0.958	0.898	0.835	0.628	0.995	0.833
DB00190	Carbidopa	1.104	1.255	-0.07	0.657	0.201	0.94	0.921	0.313	0.708	0.511
DB01224	Quetiapine	1.104	0.146	0.979	2.646	0.324	0.853	0.501	0.797	0.998	0.577
DB07780	Farnesyl diphosphate	1.105	1.951	1.09	1.531	-0.758	0.828	0.966	0.807	0.877	0.163
DB09570	Ixazomib	1.114	0.903	2.259	0.83	-1.277	0.844	0.781	0.993	0.662	0.072
DB00617	Paramethadione	1.116	1.003	1.854	1.086	0.955	0.902	0.843	0.991	0.809	0.812
DB00298	Dapiprazole	1.12	0.324	1.863	0.86	-0.512	0.842	0.54	0.933	0.634	0.231
DB01301	Rolitetracycline	1.121	1.187	0.401	0.975	0.605	0.855	0.856	0.322	0.788	0.659
DB01262	Decitabine	1.122	1.734	-0.907	-0.28	0.777	0.852	0.938	0.135	0.287	0.73
DB01135	Doxacurium	1.124	1.434	0.379	0.075	1.231	0.79	0.878	0.64	0.597	0.813
DB01336	Metocurine	1.124	1.434	0.379	0.075	1.231	0.79	0.878	0.64	0.597	0.813
DB02292	Irosustat	1.124	1.396	1.785	0.089	-0.195	0.846	0.89	0.929	0.424	0.327
DB04129	Willardiine	1.126	1.543	1.356	0.286	-0.029	0.928	0.948	0.845	0.345	0.431
DB00376	Trihexyphenidyl	1.134	1.42	0.041	0.969	-0.474	0.845	0.894	0.381	0.747	0.252
DB00502	Haloperidol	1.137	0.072	1.377	3.482	0.82	0.902	0.464	0.9	1	0.774
DB04604	5-iodotubercidin	1.142	1.375	0.914	0.374	0.779	0.94	0.941	0.584	0.579	0.773
DB01023	Felodipine	1.143	1.169	1.611	2.602	-0.606	0.907	0.886	0.924	0.998	0.187
DB00720	Clodronic acid	1.147	1.298	1.299	0.438	0.39	0.854	0.866	0.889	0.599	0.594
DB00177	Valsartan	1.148	1.282	1.093	-0.097	1.227	0.845	0.85	0.825	0.46	0.84
DB00275	Olmesartan	1.148	1.282	1.093	-0.097	1.227	0.845	0.85	0.825	0.46	0.84
DB00364	Sucralfate	1.148	0.259	1.956	1.91	1.907	0.85	0.528	0.958	0.988	0.966
DB00876	Eprosartan	1.148	1.282	1.093	-0.097	1.227	0.845	0.85	0.825	0.46	0.84
DB08822	Azilsartan medoxomil	1.148	1.282	1.093	-0.097	1.227	0.845	0.85	0.825	0.46	0.84
DB09279	Fimasartan	1.148	1.282	1.093	-0.097	1.227	0.845	0.85	0.825	0.46	0.84
DB01180	Rescinnamine	1.149	1.428	-0.395	1.206	0.625	0.886	0.916	0.128	0.747	0.673
DB11560	Lesinurad	1.149	1.237	1.029	0.425	1.113	0.81	0.845	0.748	0.636	0.771
DB00575	Clonidine	1.152	0.775	2.887	0.892	-0.441	0.848	0.732	0.994	0.754	0.228
DB01007	Tioconazole	1.153	0.971	1.157	1.3	1.251	0.817	0.755	0.787	0.829	0.84
DB00121	Biotin	1.154	1.665	0.589	-1.006	1.299	0.933	0.965	0.564	0.119	0.906
DB00993	Azathioprine	1.155	1.096	-2.642	0.048	1.716	0.86	0.842	0.005	0.427	0.948
DB01267	Paliperidone	1.155	0.446	2.048	2.517	0.373	0.866	0.622	0.967	0.995	0.587
DB00184	Nicotine	1.157	2.195	-0.317	0.667	0.928	0.844	0.985	0.277	0.659	0.773
DB09235	Efonidipine	1.157	1.105	2.01	0.564	1.01	0.812	0.798	0.992	0.614	0.743
DB06216	Asenapine	1.158	0.45	1.751	2.477	-0.086	0.86	0.612	0.937	0.996	0.396
DB00530	Erlotinib	1.161	0.149	-0.245	0.483	0.301	0.895	0.489	0.364	0.663	0.559
DB08558	"2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL"	1.161	1.403	1.722	-0.239	0.835	0.818	0.853	0.893	0.514	0.747
DB00183	Pentagastrin	1.162	1.128	1.13	0.708	1.063	0.787	0.799	0.794	0.736	0.761
DB03389	alpha-D-Xylopyranose	1.162	1.452	1.747	0.977	0.535	0.824	0.907	0.864	0.748	0.608
DB09142	Sincalide	1.162	1.128	1.13	0.708	1.063	0.787	0.799	0.794	0.736	0.761
DB04419	D-norleucine	1.164	0.998	1.692	1.046	1.421	0.822	0.763	0.86	0.772	0.891
DB00931	Metacycline	1.167	1.124	-1.758	1.028	-0.038	0.858	0.855	0.033	0.817	0.447
DB00257	Clotrimazole	1.172	1.242	-0.702	1.492	0.099	0.901	0.937	0.201	0.97	0.483
DB00540	Nortriptyline	1.173	1.086	0.938	2.288	-0.626	0.869	0.856	0.781	0.993	0.207
DB08341	"4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide"	1.175	1.624	0.275	-0.845	1.399	0.862	0.931	0.232	0.135	0.877
DB00476	Duloxetine	1.179	0.38	-0.033	1.937	0.906	0.87	0.612	0.39	0.986	0.779
DB09036	Siltuximab	1.18	1.114	1.677	1.282	1.117	0.893	0.845	0.978	0.883	0.857
DB01261	Sitagliptin	1.181	1.325	-2.35	0.787	0.832	0.856	0.887	0.002	0.563	0.734
DB00585	Nizatidine	1.182	1.27	1.409	0.991	1.025	0.801	0.824	0.844	0.796	0.763
DB00875	Flupentixol	1.19	1.086	2.121	1.436	-0.642	0.87	0.815	0.961	0.932	0.184
DB00527	Cinchocaine	1.191	0.91	0.911	1.212	1.218	0.939	0.816	0.667	0.846	0.883
DB03023	"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine"	1.195	1.353	0.927	1.297	0.529	0.955	0.913	0.552	0.879	0.655
DB07384	1-ACETYL-2-CARBOXYPIPERIDINE	1.197	1.647	0.456	-1.201	-0.096	0.863	0.937	0.275	0.063	0.387
DB07394	AUROVERTIN B	1.197	1.647	0.456	-1.201	-0.096	0.863	0.937	0.275	0.063	0.387
DB08629	"N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE"	1.197	1.647	0.456	-1.201	-0.096	0.863	0.937	0.275	0.063	0.387
DB00363	Clozapine	1.198	0.289	1.507	2.648	0.332	0.869	0.575	0.907	0.999	0.583
DB00751	Epinastine	1.198	1.17	2.348	1.374	-0.5	0.858	0.856	0.976	0.88	0.227
DB00778	Roxithromycin	1.212	1.242	1.227	1.248	1.051	0.953	0.955	0.913	0.872	0.906
DB01396	Digitoxin	1.216	1.391	-0.452	-0.129	1.837	0.953	0.944	0.245	0.377	0.976
DB00045	Lyme disease vaccine (recombinant OspA)	1.231	0.974	-0.306	2.37	1.005	0.841	0.791	0.331	0.949	0.801
DB11601	Tuberculin Purified Protein Derivative	1.231	0.974	-0.306	2.37	1.005	0.841	0.791	0.331	0.949	0.801
DB01992	Coenzyme A	1.236	0.467	0.708	0.341	0.242	0.876	0.624	0.619	0.535	0.516
DB05424	Canertinib	1.24	0.48	1.519	0.378	0.784	0.909	0.655	0.913	0.602	0.781
DB00752	Tranylcypromine	1.254	0.89	0.245	1.945	1.683	0.985	0.824	0.462	0.972	0.975
DB05013	Ingenol mebutate	1.255	0.938	-0.234	-0.079	1.353	0.937	0.848	0.239	0.398	0.926
DB00934	Maprotiline	1.257	0.285	1.9	2.089	0.119	0.881	0.566	0.961	0.988	0.47
DB11582	Thiocolchicoside	1.257	0.328	1.784	0.789	0.714	0.859	0.571	0.942	0.717	0.711
DB01698	Rutin	1.261	2.002	1.767	-0.825	-0.27	0.869	0.985	0.975	0.152	0.337
DB03685	Uridine monophosphate	1.264	1.656	0.155	0.567	-0.314	0.876	0.941	0.41	0.455	0.283
DB08960	Hexamethonium	1.264	0.834	1.64	1.336	1.278	0.846	0.707	0.854	0.844	0.85
DB00637	Astemizole	1.265	1.672	1.883	2.279	0.699	0.933	0.978	0.955	0.991	0.732
DB00948	Mezlocillin	1.268	1.261	0.14	0.231	-0.505	0.883	0.884	0.475	0.516	0.239
DB00149	L-Leucine	1.27	1.402	1.24	0.873	-0.598	0.872	0.901	0.832	0.606	0.203
DB08175	"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID"	1.27	1.362	1.1	1.177	-0.091	0.876	0.887	0.798	0.739	0.365
DB00168	Aspartame	1.273	1.52	1.231	1.071	0.878	0.835	0.882	0.857	0.801	0.746
DB01623	Thiothixene	1.277	0.336	2.525	2.482	0.024	0.896	0.569	0.991	0.998	0.456
DB13154	Parachlorophenol	1.279	1.148	0.578	1.863	1.292	0.893	0.853	0.596	0.959	0.918
DB00485	Dicloxacillin	1.28	1.977	-1.071	0.906	-0.791	0.878	0.98	0.071	0.717	0.162
DB00724	Imiquimod	1.28	2.413	-1.207	1.581	0.054	0.918	0.987	0.04	0.942	0.447
DB02255	GM6001	1.281	0.956	-1.09	1.373	1.068	0.882	0.793	0.089	0.888	0.824
DB00988	Dopamine	1.282	0.804	0.704	1.082	0.136	0.891	0.78	0.799	0.856	0.489
DB00246	Ziprasidone	1.284	0.479	0.742	2.351	0.112	0.899	0.655	0.704	0.996	0.469
DB06292	Dapagliflozin	1.288	1.526	2.122	1.455	0.986	0.833	0.9	0.93	0.871	0.753
DB00849	Methylphenobarbital	1.292	0.839	2.74	0.389	-0.331	0.881	0.757	0.989	0.513	0.274
DB00434	Cyproheptadine	1.293	0.312	2.299	2.989	1.071	0.942	0.576	0.986	1	0.854
DB00780	Phenelzine	1.295	1.62	-0.365	1.777	0.508	0.972	0.977	0.271	0.97	0.632
DB00610	Metaraminol	1.296	1.302	1.348	1.492	1.11	0.912	0.892	0.76	0.921	0.83
DB00699	Nicergoline	1.296	1.302	1.348	1.492	1.11	0.912	0.892	0.76	0.921	0.83
DB06764	Tetryzoline	1.296	1.302	1.348	1.492	1.11	0.912	0.892	0.76	0.921	0.83
DB00115	Cyanocobalamin	1.3	1.23	0.642	0.709	0.078	0.89	0.866	0.634	0.645	0.416
DB09238	Manidipine	1.304	1.043	3.026	0.314	-0.254	0.884	0.824	0.995	0.465	0.305
DB01488	Dimethyltryptamine	1.305	0.669	1.177	0.863	-0.313	0.878	0.695	0.812	0.611	0.29
DB07954	3-isobutyl-1-methyl-7H-xanthine	1.305	1.953	0.359	-0.204	0.364	0.885	0.967	0.528	0.257	0.541
DB11595	Atezolizumab	1.305	1.031	1.987	1.972	0.873	0.844	0.809	0.91	0.922	0.781
DB01941	"6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid"	1.309	2.453	1.407	0.076	0.132	0.893	0.989	0.95	0.449	0.513
DB08835	Spaglumic Acid	1.309	1.1	0.574	1.157	1.482	0.861	0.787	0.638	0.813	0.905
DB00523	Alitretinoin	1.312	1.55	1.548	0.204	-0.228	0.881	0.922	0.929	0.51	0.329
DB00604	Cisapride	1.316	0.106	1.277	1.525	0.561	0.882	0.483	0.852	0.924	0.644
DB01231	Diphenidol	1.317	1.042	1.403	1.198	-0.618	0.883	0.811	0.87	0.826	0.209
DB01537	"4-Bromo-2,5-dimethoxyphenethylamine"	1.317	1.271	1.067	1.454	1.117	0.887	0.852	0.754	0.871	0.784
DB03793	Benzoic Acid	1.323	1.176	1.207	0.968	0.427	0.884	0.848	0.817	0.672	0.561
DB04745	2-OXOQUINOLINE	1.323	1.786	1.678	0.583	0.032	0.889	0.958	0.919	0.583	0.41
DB00395	Carisoprodol	1.324	2.156	-0.676	0.684	0.711	0.929	0.972	0.078	0.537	0.683
DB01618	Molindone	1.328	0.506	3.035	1.38	-0.457	0.896	0.636	0.996	0.89	0.26
DB00833	Cefaclor	1.329	0.816	2.196	1.331	0.793	0.894	0.77	0.986	0.792	0.717
DB04908	Flibanserin	1.332	0.461	2.457	0.937	0.052	0.885	0.634	0.977	0.657	0.443
DB00464	Sodium Tetradecyl Sulfate	1.336	1.693	3.445	-0.848	0.788	0.864	0.897	0.98	0.084	0.832
DB08490	CTS-1027	1.337	0.72	-0.243	1.311	1.233	0.898	0.709	0.173	0.824	0.862
DB06150	Sulfadimethoxine	1.339	1.533	1.681	0.216	1.095	0.824	0.857	0.882	0.715	0.803
DB01216	Finasteride	1.352	1.948	1.759	0.522	0.59	0.906	0.932	0.926	0.696	0.833
DB00407	Ardeparin	1.354	1.522	1.359	0.834	1.174	0.856	0.869	0.859	0.82	0.824
DB06271	Sulodexide	1.354	1.522	1.359	0.834	1.174	0.856	0.869	0.859	0.82	0.824
DB01429	Aprindine	1.357	0.861	0.612	2.433	0.984	0.974	0.806	0.58	0.989	0.829
DB02098	Adenosine-2'-5'-Diphosphate	1.357	1.952	2.055	0.189	0.46	0.851	0.912	0.925	0.67	0.807
DB04825	Prenylamine	1.364	1.014	0.571	2.014	1.282	0.977	0.827	0.416	0.97	0.904
DB08271	N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	1.364	0.948	1.192	1.981	1.781	0.887	0.786	0.813	0.986	0.962
DB00228	Enflurane	1.369	0.497	0.937	1.059	0.203	0.903	0.643	0.837	0.91	0.477
DB00656	Trazodone	1.369	0.578	2.1	1.848	0.516	0.909	0.666	0.971	0.979	0.628
DB00043	Omalizumab	1.373	1.381	1.556	0.852	1.674	0.858	0.851	0.888	0.816	0.896
DB00641	Simvastatin	1.376	1.181	0.462	1.264	0.169	0.89	0.85	0.531	0.778	0.467
DB00623	Fluphenazine	1.377	1.528	0.575	2.652	1.339	0.96	0.967	0.754	0.996	0.924
DB00772	Malathion	1.38	1.663	1.095	0.32	-0.073	0.907	0.933	0.79	0.487	0.383
DB01625	Isopropamide	1.38	1.448	0.491	0.861	-0.246	0.91	0.916	0.521	0.605	0.333
DB00599	Thiopental	1.381	1.017	2.24	0.557	-0.775	0.906	0.821	0.978	0.595	0.16
DB00114	Pyridoxal phosphate	1.387	0.892	-0.06	1.513	1.604	0.961	0.809	0.407	0.957	0.953
DB09053	Ibrutinib	1.4	1.038	1.972	1.28	0.538	0.954	0.865	0.953	0.888	0.68
DB02999	Quisqualate	1.405	1.34	0.771	0.617	0.312	0.899	0.89	0.679	0.505	0.505
DB00669	Sumatriptan	1.406	0.181	2.052	1.914	0.899	0.899	0.516	0.966	0.973	0.762
DB00915	Amantadine	1.406	1.179	3.235	1.216	0.674	0.912	0.864	0.994	0.77	0.674
DB00935	Oxymetazoline	1.41	0.606	1.659	1.538	0.617	0.903	0.684	0.922	0.936	0.654
DB02329	Carbenoxolone	1.413	1.512	1.069	1.412	0.841	0.839	0.863	0.833	0.867	0.777
DB09372	Tannic acid	1.421	0.917	1.673	0.908	0.73	0.981	0.835	0.926	0.768	0.751
DB07636	"5-HEPTYL-6-HYDROXY-1,3-BENZOTHIAZOLE-4,7-DIONE"	1.426	1.675	2.077	0.934	-0.636	0.908	0.946	0.946	0.629	0.19
DB00602	Ivermectin	1.433	1.755	0.487	1.181	-0.56	0.904	0.954	0.607	0.838	0.21
DB01227	Levacetylmethadol	1.434	1.874	0.485	1.005	0.292	0.926	0.96	0.514	0.665	0.538
DB06290	Simeprevir	1.437	1.401	1.747	1.309	1.372	0.945	0.939	0.979	0.858	0.94
DB03128	Acetylcholine	1.445	1.595	-0.056	0.808	-0.573	0.914	0.934	0.359	0.689	0.215
DB01016	Glyburide	1.448	1.446	1.945	2.319	-0.152	0.906	0.914	0.959	0.999	0.358
DB00370	Mirtazapine	1.452	0.717	0.677	1.672	-0.33	0.929	0.72	0.689	0.956	0.298
DB01008	Busulfan	1.452	1.675	1.208	0.008	1.549	0.884	0.897	0.846	0.542	0.884
DB08887	Icosapent ethyl	1.453	1.45	1.732	1.858	1.27	0.968	0.956	0.98	0.974	0.924
DB06772	Cabazitaxel	1.456	2.116	0.35	0.157	0.439	0.925	0.969	0.259	0.46	0.581
DB07615	Tranilast	1.458	1.456	2.068	1.642	1.357	0.985	0.976	0.996	0.953	0.963
DB00048	Collagenase clostridium histolyticum	1.462	1.341	2.922	1.027	0.885	0.91	0.881	0.989	0.669	0.736
DB01068	Clonazepam	1.462	0.436	1.72	0.598	0.308	0.923	0.599	0.939	0.626	0.541
DB03880	Batimastat	1.464	0.948	0.146	1.125	1.106	0.912	0.795	0.409	0.801	0.835
DB02567	PD173955	1.469	0.406	1.01	0.886	0.472	0.962	0.627	0.823	0.912	0.682
DB09225	Zotepine	1.469	0.733	1.961	2.518	0.36	0.918	0.74	0.968	1	0.593
DB00887	Bumetanide	1.481	1.707	2.312	0.281	0.072	0.921	0.952	0.984	0.529	0.451
DB00230	Pregabalin	1.483	1.407	0.596	0.895	0.577	0.931	0.904	0.581	0.601	0.647
DB04849	Cediranib	1.487	0.608	0.642	0.909	0.793	0.952	0.703	0.695	0.86	0.796
DB08382	Gosogliptin	1.488	1.71	-0.48	0.58	0.582	0.916	0.955	0.082	0.458	0.654
DB08429	N-({(2S)-1-[(3R)-3-amino-4-(3-chlorophenyl)butanoyl]pyrrolidin-2-yl}methyl)-3-(methylsulfonyl)benzamide	1.488	1.71	-0.48	0.58	0.582	0.916	0.955	0.082	0.458	0.654
DB00017	Salmon Calcitonin	1.489	1.323	0.977	1.525	1.261	0.893	0.86	0.738	0.878	0.837
DB00014	Goserelin	1.491	1.641	0.955	0.247	1.497	0.885	0.911	0.766	0.659	0.87
DB00050	Cetrorelix	1.491	1.641	0.955	0.247	1.497	0.885	0.911	0.766	0.659	0.87
DB00843	Donepezil	1.491	1.164	-0.393	0.726	-0.379	0.911	0.855	0.208	0.622	0.261
DB06719	Buserelin	1.491	1.641	0.955	0.247	1.497	0.885	0.911	0.766	0.659	0.87
DB01017	Minocycline	1.494	0.845	1.314	1.213	0.845	0.909	0.75	0.905	0.849	0.744
DB00555	Lamotrigine	1.496	1.347	1.17	1.821	0.102	0.926	0.893	0.825	0.968	0.435
DB00345	Aminohippuric acid	1.513	1.728	1.447	0.986	1.314	0.877	0.917	0.832	0.784	0.825
DB04272	Citric acid	1.513	1.532	0.045	1.314	1.351	0.976	0.965	0.438	0.904	0.921
DB00371	Meprobamate	1.515	0.758	1.603	0.44	0.692	0.936	0.724	0.919	0.548	0.687
DB01083	Orlistat	1.517	1.763	-0.686	0.002	0.101	0.924	0.957	0.158	0.412	0.463
DB00280	Disopyramide	1.519	2.415	-0.849	0.014	-0.046	0.923	0.991	0.105	0.36	0.367
DB07138	Neflamapimod	1.525	1.497	1.38	0.121	1.525	0.979	0.953	0.873	0.495	0.941
DB00343	Diltiazem	1.529	0.835	1.701	2.137	0.701	0.927	0.748	0.919	0.991	0.684
DB00212	Remikiren	1.534	1.411	2.01	1.508	1.503	0.951	0.926	0.992	0.909	0.974
DB09093	Chlortetracycline	1.538	1.867	0.871	0.518	0.32	0.921	0.954	0.685	0.555	0.544
DB04812	Benoxaprofen	1.543	1.601	2.018	1.075	1.5	0.899	0.901	0.926	0.885	0.903
DB00806	Pentoxifylline	1.552	1.269	0.204	0.679	0.53	0.924	0.867	0.477	0.551	0.606
DB00260	Cycloserine	1.554	1.528	0.145	1.57	0.795	0.929	0.915	0.383	0.923	0.722
DB08901	Ponatinib	1.554	1.132	0.814	1.536	0.065	0.981	0.892	0.691	0.92	0.465
DB07193	"(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine"	1.557	1.583	1.813	0.82	1.335	0.858	0.868	0.904	0.81	0.845
DB00302	Tranexamic acid	1.56	1.692	2.207	-0.128	1.579	0.907	0.912	0.944	0.295	0.924
DB00360	Sapropterin	1.56	1.336	2.045	1.273	0.243	0.93	0.882	0.96	0.796	0.514
DB00402	Eszopiclone	1.561	0.554	1.994	0.387	0.642	0.927	0.659	0.956	0.538	0.671
DB00172	Proline	1.562	0.838	0.911	1.407	0.006	0.926	0.764	0.732	0.922	0.435
DB04946	Iloperidone	1.57	0.501	2.118	2.029	0.774	0.938	0.64	0.968	0.991	0.754
DB01036	Tolterodine	1.572	1.56	0.507	1.23	-0.091	0.93	0.917	0.569	0.82	0.377
